timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
761550,1756,973,931,16504,28,-2764,-1440,164,209
761560,1758,978,933,16680,-20,-2836,-1440,-21,247
761570,1757,982,933,16644,104,-2860,-1424,-270,320
761580,1757,989,933,16656,36,-2804,-1408,-322,307
761590,1757,973,933,16696,-76,-2708,-1440,-377,359
761600,1756,973,935,16660,-192,-2668,-1440,-344,323
761610,1757,972,933,16688,-324,-2668,-1472,-286,258
761620,1757,966,885,16584,-352,-2528,-1456,-117,320
761630,1756,985,928,16732,-152,-2612,-1408,124,346
761640,1756,995,928,16716,-156,-2664,-1440,152,396
761650,1759,975,933,16672,-116,-2816,-1440,-18,333
761660,1756,973,933,16604,-44,-2620,-1472,-191,427
761670,1756,959,936,16636,-92,-2748,-1424,-302,344
761680,1759,955,932,16596,-304,-2632,-1472,-433,257
761690,1763,964,933,16588,-472,-2632,-1440,-400,251
761700,1757,989,937,16760,-456,-2496,-1424,-158,310
761710,1755,990,933,16860,-272,-2412,-1472,199,304
761720,1757,985,933,16708,20,-2576,-1424,382,378
761730,1757,982,933,16676,192,-2812,-1440,195,478
761740,1756,979,932,16580,224,-2836,-1472,-257,442
761750,1757,977,931,16592,-24,-2736,-1456,-553,306
761760,1755,971,933,16540,-212,-2580,-1424,-640,193
761770,1756,978,931,16644,-404,-2400,-1424,-470,165
761780,1757,959,933,16668,-384,-2232,-1440,-232,272
761790,1753,967,931,16692,-264,-2492,-1440,65,329
761800,1757,971,927,16800,-76,-2452,-1424,197,336
761810,1758,975,933,16640,-40,-2532,-1456,154,319
761820,1763,973,932,16636,44,-2632,-1456,35,283
761830,1749,984,931,16564,-72,-2572,-1424,-62,172
761840,1757,981,932,16680,-80,-2584,-1472,-107,218
761850,1755,974,931,16632,-44,-2768,-1456,-56,198
761860,1757,994,924,16780,-140,-2460,-1456,11,171
761870,1751,999,928,16804,-80,-2268,-1408,71,297
761880,1757,988,927,16760,168,-2600,-1488,167,375
761890,1757,995,927,16576,60,-2604,-1456,258,236
761900,1757,996,931,16632,4,-2364,-1456,212,135
761910,1753,975,927,16748,24,-2464,-1456,74,165
761920,1756,977,931,16640,24,-2860,-1472,-50,140
761930,1755,969,927,16676,-68,-2636,-1456,-95,73
761940,1755,981,927,16608,-252,-2500,-1424,-90,138
761950,1757,967,931,16716,-288,-2528,-1440,-172,214
761960,1755,979,932,16664,-464,-2560,-1424,-104,141
761970,1759,974,932,16592,-552,-2468,-1440,6,38
761980,1759,981,928,16680,-516,-2540,-1456,-19,22
761990,1757,973,884,16700,-648,-2588,-1424,-111,109
762000,1755,989,925,16480,-532,-2576,-1440,76,101
762010,1737,972,931,16604,-620,-2948,-1424,94,64
762020,1755,987,951,16728,-600,-2804,-1424,-40,47
762030,1757,967,928,16848,-336,-2760,-1456,-66,151
762040,1755,969,932,16680,-352,-2796,-1456,87,194
762050,1755,969,928,16688,-484,-2716,-1440,-31,356
762060,1757,970,927,16636,-460,-2832,-1456,-369,349
762070,1757,973,918,16512,-560,-2608,-1424,-359,281
762080,1756,966,931,16608,-504,-2512,-1440,-183,122
762090,1756,979,925,16644,-572,-2408,-1424,-69,166
762100,1756,985,927,16764,-532,-2532,-1472,13,257
762110,1755,984,928,16728,-404,-2492,-1456,91,298
762120,1756,973,931,16652,-256,-2344,-1424,190,293
762130,1756,965,931,16496,-180,-2656,-1440,84,218
762140,1756,970,928,16532,-240,-2896,-1408,-52,75
762150,1759,981,927,16528,-252,-2772,-1440,-136,34
762160,1757,983,927,16624,-280,-2508,-1472,-152,117
762170,1757,983,927,16788,-220,-2532,-1456,-97,266
762180,1755,979,932,16680,-212,-2676,-1472,-149,295
762190,1757,985,927,16716,-324,-2556,-1440,-212,281
762200,1755,970,932,16532,-352,-2592,-1424,-251,237
762210,1757,971,928,16592,-480,-2556,-1472,-130,81
762220,1717,985,926,16724,-584,-2580,-1440,16,39
762230,1755,991,925,16776,-460,-2492,-1440,117,195
762240,1756,978,925,16716,-240,-2912,-1440,274,346
762250,1755,971,927,16580,-220,-2716,-1424,282,343
762260,1757,971,927,16552,-212,-2748,-1440,8,285
762270,1757,972,925,16568,-292,-2780,-1440,-323,196
762280,1755,973,926,16568,-388,-2768,-1440,-298,67
762290,1757,980,926,16692,-464,-2484,-1440,-177,42
762300,1755,971,927,16764,-324,-2604,-1408,-7,143
762310,1757,973,926,16664,-296,-2512,-1440,74,298
762320,1735,977,926,16668,-296,-2436,-1440,72,375
762330,1755,973,926,16448,-280,-2652,-1408,15,309
762340,1757,969,925,16404,-340,-2756,-1440,-61,93
762350,1757,973,925,16596,-336,-2560,-1456,-139,45
762360,1757,975,925,16744,-452,-2532,-1440,-100,145
762370,1757,971,925,16704,-288,-2656,-1408,-46,268
762380,1755,949,927,16768,-352,-2748,-1456,-101,305
762390,1757,971,927,16528,-392,-2600,-1440,-143,290
762400,1757,979,926,16680,-384,-2620,-1456,-64,235
762410,1753,974,925,16636,-308,-2524,-1440,90,174
762420,1754,982,925,16676,-228,-2500,-1440,145,167
762430,1756,1063,923,16776,-220,-2460,-1440,108,229
762440,1755,985,925,16776,-164,-2584,-1456,86,251
762450,1757,991,923,16724,-140,-2716,-1424,191,196
762460,1755,987,925,16696,-124,-2680,-1440,129,175
762470,1757,981,925,16696,-16,-2728,-1440,-26,301
762480,1755,971,925,16532,-164,-2588,-1424,-56,272
762490,1755,973,926,16644,-156,-2688,-1440,-7,138
762500,1756,974,925,16612,-280,-2748,-1440,-82,167
762510,1757,969,927,16724,-364,-2648,-1440,-208,209
762520,1757,973,954,16700,-260,-2588,-1408,-127,177
762530,1755,981,926,16848,-364,-2552,-1456,-60,198
762540,1756,920,927,16736,-324,-2628,-1440,-59,258
762550,1757,973,925,16652,-292,-2620,-1440,-6,239
762560,1757,979,925,16664,-224,-2684,-1408,52,187
762570,1755,985,923,16636,-268,-2696,-1440,42,179
762580,1755,983,924,16728,-252,-2640,-1456,-52,237
762590,1756,984,925,16656,-164,-2688,-1440,-82,274
762600,1756,979,924,16676,-244,-2672,-1472,-143,277
762610,1757,973,924,16584,-296,-2548,-1456,-190,244
762620,1754,974,925,16540,-412,-2604,-1440,-245,212
762630,1755,973,925,16640,-476,-2588,-1456,-225,232
762640,1756,975,925,16604,-440,-2524,-1408,-134,243
762650,1757,974,923,16696,-340,-2584,-1440,29,235
762660,1756,965,926,16612,-316,-2668,-1488,85,253
762670,1756,973,924,16700,-280,-2664,-1456,127,246
762680,1756,956,924,16632,-216,-2508,-1456,115,244
762690,1755,979,925,16724,-84,-2684,-1440,-11,282
762700,1756,985,925,16664,-200,-2532,-1440,-169,204
762710,1756,991,925,16744,-172,-2624,-1424,-175,169
762720,1755,990,923,16712,-232,-2684,-1424,-119,230
762730,1753,979,923,16640,-228,-2712,-1424,-77,328
762740,1756,987,924,16596,-148,-2612,-1456,-24,310
762750,1757,989,924,16664,-164,-2736,-1408,-100,304
762760,1755,979,923,16680,-188,-2496,-1456,-232,291
762770,1757,981,925,16596,-296,-2628,-1456,-272,197
762780,1756,991,924,16672,-372,-2408,-1472,-259,126
762790,1756,978,922,16724,-324,-2444,-1456,-147,183
762800,1756,969,925,16780,-244,-2640,-1440,48,279
762810,1755,969,925,16632,-244,-2584,-1424,141,300
762820,1755,971,967,16640,-204,-2652,-1424,50,259
762830,1756,971,921,16608,-232,-2684,-1440,-154,229
762840,1756,971,924,16628,-212,-2772,-1424,-251,211
762850,1755,973,911,16768,-308,-2644,-1424,-261,217
762860,1754,1042,924,16720,-480,-2660,-1456,-304,245
762870,1755,1001,921,16740,-384,-2384,-1392,-233,247
762880,1755,975,923,16792,-428,-2568,-1472,-54,266
762890,1755,973,923,16640,-340,-2488,-1440,-51,239
762900,1755,968,923,16632,-336,-2700,-1440,-201,279
762910,1756,987,923,16640,-336,-2700,-1440,-311,208
762920,1757,972,922,16516,-492,-2532,-1424,-207,149
762930,1757,953,923,16740,-460,-2516,-1440,-73,154
762940,1753,969,924,16740,-484,-2592,-1472,-3,239
762950,1755,859,924,16692,-476,-2432,-1440,91,303
762960,1755,967,924,16556,-460,-2636,-1408,103,290
762970,1757,975,923,16644,-292,-2576,-1424,72,224
762980,1755,981,925,16604,-300,-2616,-1408,31,154
762990,1757,987,923,16604,-220,-2844,-1440,-67,174
763000,1755,989,921,16684,-256,-2592,-1456,-126,229
763010,1772,983,923,16664,-256,-2656,-1440,-141,304
763020,1756,980,923,16748,-324,-2636,-1440,-266,297
763030,1757,973,923,16744,-364,-2468,-1440,-265,254
763040,1754,977,923,16680,-388,-2608,-1440,-216,217
763050,1755,981,921,16748,-476,-2536,-1424,-108,258
763060,1757,979,922,16680,-428,-2556,-1440,21,296
763070,1756,984,921,16748,-280,-2520,-1440,10,317
763080,1757,979,923,16652,-212,-2536,-1440,-66,353
763090,1756,969,923,16564,-332,-2512,-1408,-100,275
763100,1755,973,923,16616,-312,-2704,-1456,-131,168
763110,1767,959,924,16696,-436,-2580,-1440,-119,209
763120,1755,974,923,16652,-364,-2548,-1472,-96,250
763130,1757,971,923,16664,-384,-2524,-1392,-80,320
763140,1756,972,935,16668,-328,-2628,-1440,-19,323
763150,1755,975,923,16664,-252,-2452,-1424,-51,241
763160,1755,982,921,16632,-236,-2552,-1472,-61,225
763170,1755,981,923,16712,-176,-2676,-1440,-89,222
763180,1755,971,923,16692,-156,-2564,-1424,-88,179
763190,1756,972,921,16580,-300,-2636,-1408,-101,212
763200,1755,979,921,16600,-256,-2516,-1424,-123,226
763210,1755,971,921,16720,-320,-2640,-1472,-33,254
763220,1755,973,921,16680,-352,-2460,-1440,96,225
763230,1755,971,924,16728,-348,-2404,-1456,57,252
763240,1755,971,921,16636,-200,-2588,-1456,-39,227
763250,1755,971,921,16536,-280,-2616,-1456,0,135
763260,1757,972,922,16684,-340,-2428,-1440,-63,66
763270,1755,971,882,16828,-348,-2524,-1440,-95,230
763280,1755,971,921,16644,-352,-2720,-1424,-135,285
763290,1756,969,933,16636,-288,-2744,-1456,-46,264
763300,1755,981,920,16688,-292,-2588,-1456,56,216
763310,1756,971,921,16676,-332,-2632,-1456,40,222
763320,1755,947,921,16668,-192,-2556,-1440,21,219
763330,1754,987,922,16680,-176,-2532,-1424,47,250
763340,1755,988,921,16692,-144,-2524,-1440,-19,278
763350,1755,970,921,16616,-172,-2596,-1440,-72,255
763360,1757,982,922,16664,-160,-2516,-1456,-104,206
763370,1755,983,921,16584,-416,-2580,-1408,-173,172
763380,1757,977,947,16724,-308,-2628,-1424,-204,208
763390,1755,979,921,16640,-320,-2548,-1440,-136,222
763400,1755,975,920,16748,-372,-2528,-1440,17,221
763410,1755,971,921,16692,-436,-2632,-1440,-5,215
763420,1755,971,919,16736,-304,-2524,-1456,-122,221
763430,1783,983,919,16748,-296,-2552,-1456,-146,205
763440,1754,973,921,16740,-260,-2576,-1424,-196,185
763450,1764,994,921,16592,-344,-2472,-1440,-94,190
763460,1757,969,901,16684,-364,-2508,-1456,5,192
763470,1755,971,921,16652,-392,-2620,-1472,-22,180
763480,1755,973,921,16728,-344,-2480,-1488,-103,197
763490,1755,971,923,16708,-412,-2532,-1424,-81,239
763500,1751,971,922,16700,-356,-2612,-1440,-66,187
763510,1739,974,920,16652,-428,-2616,-1424,-134,154
763520,1755,973,920,16680,-392,-2364,-1424,-121,160
763530,1756,970,919,16728,-356,-2440,-1424,-24,153
763540,1753,969,920,16732,-368,-2636,-1408,34,175
763550,1755,969,920,16620,-388,-2572,-1456,-13,180
763560,1756,973,918,16540,-240,-2484,-1456,-1,177
763570,1756,979,919,16664,-288,-2760,-1456,11,150
763580,1755,981,919,16768,-320,-2648,-1440,17,159
763590,1749,980,921,16680,-176,-2588,-1424,-54,164
763600,1755,981,920,16716,-232,-2556,-1472,-130,213
763610,1755,979,920,16616,-260,-2552,-1424,-142,197
763620,1755,982,921,16500,-324,-2464,-1424,-116,91
763630,1755,975,909,16600,-324,-2392,-1440,-96,73
763640,1753,989,920,16692,-408,-2384,-1424,-93,123
763650,1756,979,919,16716,-420,-2444,-1488,-33,136
763660,1755,978,920,16688,-396,-2448,-1424,61,28
763670,1753,973,921,16508,-540,-2300,-1424,43,180
763680,1756,968,921,16596,-672,-1920,-1408,-12,206
763690,1755,934,920,16596,-788,-1964,-1424,56,153
763700,1753,958,918,16580,-924,-1712,-1456,490,-59
763710,1755,956,914,16608,-1024,-1692,-1408,1021,-184
763720,1769,948,917,16608,-732,-1844,-1456,1500,-311
