timestamp_ms,mmg1,mmg2,mmg3,accelX,accelY,accelZ,gyroX,gyroY,gyroZ
924549,1688,965,525,16724,-244,-2224,-1264,-41,199
924559,1689,969,529,16704,-220,-2344,-1296,-12,175
924569,1689,957,525,16676,-308,-2520,-1296,-76,129
924579,1689,955,529,16620,-408,-2260,-1296,-217,77
924589,1686,959,523,16620,-456,-2268,-1280,-161,-14
924599,1699,954,524,16740,-416,-2112,-1296,3,45
924609,1688,950,526,16820,-436,-2484,-1264,50,114
924619,1689,948,531,16724,-356,-2576,-1280,-111,134
924629,1688,951,529,16768,-400,-2328,-1296,-222,156
924639,1688,951,527,16732,-496,-2384,-1248,-145,38
924649,1688,950,529,16756,-540,-2316,-1296,-5,-32
924659,1687,943,525,16720,-440,-2500,-1296,14,35
924669,1689,941,525,16724,-388,-2536,-1280,24,170
924679,1688,938,524,16620,-412,-2260,-1296,166,208
924689,1688,949,525,16732,-364,-2536,-1264,134,157
924699,1689,950,525,16700,-372,-2572,-1280,-54,95
924709,1687,983,522,16704,-416,-2760,-1264,-251,103
924719,1681,952,526,16740,-628,-2484,-1280,-383,134
924729,1687,1011,529,16708,-648,-2276,-1264,-330,208
924739,1658,943,529,16640,-684,-2424,-1328,-236,167
924749,1689,967,529,16640,-648,-2300,-1280,-169,124
924759,1689,955,529,16820,-688,-2252,-1312,-60,187
924769,1687,941,529,16692,-464,-2288,-1312,156,176
924779,1688,941,525,16696,-380,-2236,-1312,361,217
924789,1689,942,527,16704,-244,-2332,-1296,306,247
924799,1688,967,527,16584,-72,-2536,-1312,168,235
924809,1689,941,525,16672,-104,-2336,-1280,87,63
924819,1687,948,525,16644,-268,-2516,-1296,-107,101
924829,1689,943,525,16672,-296,-2456,-1312,-130,70
924839,1688,954,523,16860,-292,-2536,-1248,-115,78
924849,1689,965,525,16908,-248,-2304,-1312,-80,159
924859,1687,957,526,16936,-300,-2216,-1312,-56,269
924869,1687,953,526,16660,-392,-2328,-1264,15,222
924879,1689,949,525,16592,-444,-2272,-1312,80,165
924889,1688,951,525,16644,-448,-2368,-1280,17,133
924899,1691,947,529,16616,-392,-2624,-1296,-49,83
924909,1688,943,525,16792,-368,-2524,-1248,8,105
924919,1689,953,527,16772,-452,-2304,-1264,93,192
924929,1687,943,523,16740,-448,-2712,-1296,119,258
924939,1688,951,525,16656,-280,-2512,-1312,119,234
924949,1689,952,525,16756,-212,-2484,-1296,139,249
924959,1688,950,524,16660,-260,-2468,-1296,72,225
924969,1689,953,525,16624,-216,-2560,-1312,-57,158
924979,1687,957,524,16720,-288,-2428,-1280,-134,119
924989,1688,958,525,16612,-456,-2404,-1296,-132,175
924999,1689,947,523,16720,-264,-2428,-1264,-82,215
925009,1687,949,529,16812,-328,-2432,-1264,-112,229
925019,1689,907,525,16824,-268,-2268,-1280,135,251
925029,1684,951,524,16744,-292,-2336,-1296,303,302
925039,1688,967,524,16660,-76,-2468,-1296,158,367
925049,1688,957,523,16604,-52,-2496,-1280,-17,291
925059,1689,973,529,16596,-92,-2384,-1328,-245,267
925069,1687,965,525,16616,-304,-2540,-1280,-460,148
