Time,MMG1,MMG2,MMG3,MMG4,EMG,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
412,807,765,897,752,122,4132,-16164,-40,-1375,-309,-121
415,811,769,887,750,117,4176,-16232,-28,-1393,-339,-115
418,811,768,884,747,113,4188,-16268,-56,-1313,-330,-72
421,810,766,885,746,118,4144,-16212,-140,-1306,-279,-85
424,807,784,892,741,117,4096,-16124,-148,-1321,-317,-81
427,797,768,888,741,115,4096,-16212,-144,-1306,-347,-91
430,811,767,881,747,119,4084,-16248,-224,-1276,-312,-75
433,813,770,886,749,117,4092,-16312,-212,-1277,-251,-105
436,809,768,887,743,114,4188,-16256,-196,-1232,-215,-70
439,811,770,883,741,116,4176,-16208,-220,-1195,-101,-56
442,800,765,885,749,117,4328,-16140,-152,-1201,-53,-55
445,807,764,910,749,121,4100,-16008,-300,-1190,-41,-61
448,807,763,890,747,120,4028,-16000,-304,-1186,-14,-46
451,815,759,883,749,113,4192,-16156,-364,-1150,-17,-56
454,809,762,881,748,116,4108,-16176,-260,-1109,-68,-38
457,807,756,882,765,114,4084,-16500,-528,-1055,-75,-48
460,807,784,881,746,124,4000,-16048,-220,-1123,-58,-65
463,807,769,884,747,119,4148,-16056,-344,-1094,-120,-55
466,805,769,882,749,114,3972,-16088,-460,-1119,-227,-59
469,814,767,887,747,117,4100,-16024,-448,-1182,-230,-89
472,811,766,886,743,113,4140,-16236,-456,-1174,-236,-124
475,811,768,887,742,115,4164,-15828,-384,-1243,-213,-99
478,814,770,882,749,118,4132,-16168,-412,-1222,-219,-79
481,813,773,881,745,115,4084,-15872,-428,-1252,-172,-91
484,809,769,882,752,117,4152,-16060,-608,-1208,-103,-93
487,809,770,885,743,116,4120,-16204,-380,-1216,-18,-99
490,810,772,881,743,117,4112,-16020,-532,-1237,-29,-92
493,813,779,887,744,118,4060,-16056,-456,-1244,-67,-85
496,813,770,892,739,122,4292,-15824,-488,-1423,7,-128
499,811,776,893,743,114,4248,-15984,-380,-1381,428,-193
502,813,778,893,741,113,4296,-16084,-452,-1506,556,-283
505,816,781,892,739,114,4056,-16028,-188,-1461,404,-248
508,815,779,892,736,121,3968,-15976,-600,-1436,94,-195
511,816,783,894,743,116,4012,-15940,-264,-1478,48,-229
514,815,783,887,746,113,4060,-16004,-272,-1400,8,-179
517,816,782,887,750,118,4340,-16112,-412,-1404,148,-165
520,816,782,887,743,117,4228,-15832,-416,-1506,142,-196
523,815,778,891,743,114,4224,-15996,-360,-1424,97,-164
526,814,777,887,752,117,4216,-15988,-332,-1494,13,-164
529,808,778,891,741,113,4224,-16088,-552,-1466,65,-149
532,814,778,891,741,116,4268,-16080,-408,-1489,54,-162
535,810,778,892,738,117,4368,-16256,-640,-1430,-61,-148
538,805,780,894,739,123,4308,-16232,-380,-1421,-54,-154
541,800,778,890,738,115,4196,-16148,-404,-1374,-72,-105
544,809,776,892,745,119,4316,-16224,-620,-1342,-114,-70
547,804,779,891,745,118,4280,-16072,-444,-1329,-144,-60
550,807,779,886,742,112,4224,-16172,-448,-1299,-100,-50
553,809,771,886,742,114,4272,-16144,-272,-1324,-112,-90
556,805,769,891,747,116,4324,-16080,-608,-1291,-122,-48
559,801,778,884,742,120,4336,-15872,-348,-1286,-169,-48
562,809,771,887,745,116,4588,-16168,-368,-1216,-86,-43
565,810,771,891,750,113,4296,-16080,-612,-1191,-109,-40
568,806,768,888,760,115,4572,-16244,-328,-1171,-134,0
571,811,768,891,746,114,4648,-16000,-512,-1168,-93,-14
574,803,762,883,743,113,4740,-16112,-584,-1140,0,20
577,807,767,896,749,112,4640,-16212,-476,-1145,11,4
580,810,768,883,744,118,4560,-16256,-612,-1123,59,13
583,810,757,887,747,117,4584,-16168,-468,-1162,61,-13
586,810,771,881,751,118,4688,-16156,-492,-1194,172,-36
589,806,765,887,750,122,4616,-16192,-452,-1276,291,-117
592,803,759,889,749,116,4516,-16136,-420,-1211,292,-69
595,807,758,881,750,116,4572,-16232,-604,-1227,178,-102
598,805,758,889,750,112,4524,-16204,-584,-1187,164,-84
601,805,752,890,750,114,4436,-16260,-712,-1131,82,-41
604,802,756,889,746,114,4528,-16304,-508,-1173,2,-47
607,807,757,892,743,117,4452,-16380,-688,-1114,-127,-13
610,802,758,895,746,117,4400,-16156,-488,-1175,-94,-62
613,810,763,890,747,114,4500,-16280,-724,-1109,-163,-56
616,809,758,884,743,117,4476,-16332,-560,-1119,-178,-61
619,812,759,891,746,113,4592,-16344,-764,-1098,-147,-44
622,808,765,900,743,117,4624,-16352,-552,-1061,-85,-41
625,805,756,895,747,115,4376,-16252,-536,-1044,-55,-60
628,811,759,891,745,119,4516,-16280,-516,-1013,-58,-48
631,804,757,894,738,116,4456,-16336,-504,-982,-10,-6
634,807,759,895,743,121,4456,-16196,-576,-943,70,0
637,810,759,885,743,114,4544,-16260,-480,-880,119,16
640,809,756,889,745,115,4468,-16212,-480,-825,128,43
643,811,759,893,749,115,4408,-16192,-512,-795,129,67
646,816,767,894,748,117,4480,-16120,-544,-827,91,55
649,801,761,886,741,113,4352,-16132,-324,-803,135,30
652,811,751,887,748,117,4480,-16052,-252,-777,154,47
655,807,761,887,751,115,4308,-16220,-372,-789,93,43
658,805,760,883,751,118,4296,-16136,-180,-798,51,27
661,807,759,893,751,121,4324,-16028,-372,-790,6,56
664,807,762,890,745,117,4392,-16188,-520,-782,28,95
667,810,765,889,752,116,4336,-16052,-336,-819,79,87
